# Matter power spectrum P(k) at redshift z=1000
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.934205868417e-02       1.163905734303e-02 
       3.954207176552e-02       1.166463028908e-02 
       3.974238464934e-02       1.168992427344e-02 
       3.994300421995e-02       1.171494660797e-02 
       4.014393754068e-02       1.173969448204e-02 
       4.034519185935e-02       1.176417053244e-02 
       4.054677461396e-02       1.178837525744e-02 
       4.074869343854e-02       1.181230548590e-02 
       4.095095616927e-02       1.183596527886e-02 
       4.115357085083e-02       1.185936181687e-02 
       4.135654574298e-02       1.188248589733e-02 
       4.155988932739e-02       1.190534455422e-02 
       4.176361031476e-02       1.192793954493e-02 
       4.196771765223e-02       1.195026563208e-02 
       4.217222053103e-02       1.197233107196e-02 
       4.237712839448e-02       1.199413291451e-02 
       4.258245094636e-02       1.201567240777e-02 
       4.278819815948e-02       1.203695236312e-02 
       4.299438028478e-02       1.205797276338e-02 
       4.320100786066e-02       1.207873315329e-02 
       4.340809172279e-02       1.209923920249e-02 
       4.361564301429e-02       1.211948724145e-02 
       4.382367319636e-02       1.213947944302e-02 
       4.403219405939e-02       1.215921692755e-02 
       4.424121773448e-02       1.217870327177e-02 
       4.445075670553e-02       1.219793569908e-02 
       4.466082382188e-02       1.221691600950e-02 
       4.487143231139e-02       1.223564756667e-02 
       4.508259579428e-02       1.225413288269e-02 
       4.529432829743e-02       1.227236481956e-02 
       4.550664426949e-02       1.229035122742e-02 
       4.571955859653e-02       1.230808936978e-02 
       4.593308661855e-02       1.232558713977e-02 
       4.614724414668e-02       1.234283573714e-02 
       4.636204748126e-02       1.235984061837e-02 
       4.657751343074e-02       1.237660017133e-02 
       4.679365933148e-02       1.239312504971e-02 
       4.701050306859e-02       1.240940602095e-02 
       4.722806309773e-02       1.242544834000e-02 
       4.744635846799e-02       1.244125189209e-02 
       4.766540884602e-02       1.245680928690e-02 
       4.788523454123e-02       1.247213937717e-02 
       4.810585653243e-02       1.248722870962e-02 
       4.832729649576e-02       1.250207446696e-02 
       4.854957683409e-02       1.251669967912e-02 
       4.877272070805e-02       1.253108116187e-02 
       4.899675206863e-02       1.254522710134e-02 
       4.922169569156e-02       1.255914360607e-02 
       4.944757721365e-02       1.257282709027e-02 
       4.967442317100e-02       1.258627792346e-02 
       4.990226103949e-02       1.259949778836e-02 
       5.013111927740e-02       1.261248564150e-02 
       5.036102737065e-02       1.262524864223e-02 
       5.059201588046e-02       1.263777359571e-02 
       5.082411649392e-02       1.265006986428e-02 
       5.105736207752e-02       1.266214593213e-02 
       5.129178673385e-02       1.267398638084e-02 
       5.152742586178e-02       1.268559883246e-02 
       5.176431622023e-02       1.269697952939e-02 
       5.200249599604e-02       1.270813974105e-02 
       5.224200487593e-02       1.271906868550e-02 
       5.248288412313e-02       1.272977011136e-02 
       5.272517665892e-02       1.274024354987e-02 
       5.296892714946e-02       1.275049257178e-02 
       5.321418209832e-02       1.276050985256e-02 
       5.346098994524e-02       1.277029896784e-02 
       5.370940117154e-02       1.277986081544e-02 
       5.395946841271e-02       1.278919382074e-02 
       5.421124657892e-02       1.279829934755e-02 
       5.446479298391e-02       1.280717402642e-02 
       5.472016748314e-02       1.281582565454e-02 
       5.497743262187e-02       1.282423952315e-02 
       5.523665379420e-02       1.283242446074e-02 
       5.549789941383e-02       1.284037377302e-02 
       5.576124109779e-02       1.284809266254e-02 
       5.602675386419e-02       1.285557725575e-02 
       5.629451634538e-02       1.286282801165e-02 
       5.656461101789e-02       1.286983725960e-02 
       5.683712445078e-02       1.287661267542e-02 
       5.711214757425e-02       1.288314833032e-02 
       5.738977597034e-02       1.288943222442e-02 
       5.767011018812e-02       1.289548092747e-02 
       5.795325608566e-02       1.290128757596e-02 
       5.823932520173e-02       1.290683998216e-02 
       5.852843516021e-02       1.291213909213e-02 
       5.882071011069e-02       1.291719178996e-02 
       5.911628120929e-02       1.292197933385e-02 
       5.941528714402e-02       1.292650901099e-02 
       5.971787470977e-02       1.293077659731e-02 
       6.002419943840e-02       1.293477020735e-02 
       6.033442629061e-02       1.293850177585e-02 
       6.064873041667e-02       1.294194012780e-02 
       6.096729799430e-02       1.294510802280e-02 
       6.129032715337e-02       1.294798158472e-02 
       6.161802899804e-02       1.295055996589e-02 
       6.195062873882e-02       1.295284215961e-02 
       6.228836694899e-02       1.295482060638e-02 
       6.263150096156e-02       1.295648034875e-02 
       6.298030642614e-02       1.295780494937e-02 
       6.333507904750e-02       1.295880720099e-02 
       6.369613653157e-02       1.295946407016e-02 
       6.406382076883e-02       1.295977022262e-02 
       6.443850028988e-02       1.295970225130e-02 
       6.482057303426e-02       1.295926160769e-02 
       6.521046948067e-02       1.295841625473e-02 
       6.560865619553e-02       1.295717853952e-02 
       6.601563986728e-02       1.295551500175e-02 
       6.643197190642e-02       1.295339445711e-02 
       6.685825370716e-02       1.295082340937e-02 
       6.729514268480e-02       1.294775671601e-02 
       6.774335922685e-02       1.294417446732e-02 
       6.820369472379e-02       1.294006694210e-02 
       6.867702088105e-02       1.293536628107e-02 
       6.916430055722e-02       1.293007202275e-02 
       6.966660042829e-02       1.292413464160e-02 
       7.018510584571e-02       1.291752816645e-02 
       7.072113834205e-02       1.291016126725e-02 
       7.127617634594e-02       1.290201331680e-02 
       7.185187980511e-02       1.289302728937e-02 
       7.245011959009e-02       1.288311228087e-02 
       7.307301277248e-02       1.287221235183e-02 
       7.372296515385e-02       1.286022152871e-02 
       7.440272278064e-02       1.284703443774e-02 
       7.511543463797e-02       1.283253847979e-02 
       7.586472929332e-02       1.281660263040e-02 
       7.665480898401e-02       1.279904500459e-02 
       7.749056553004e-02       1.277968796981e-02 
       7.837772350447e-02       1.275831365533e-02 
       7.932301725998e-02       1.273464146537e-02 
       8.033440953427e-02       1.270836142167e-02 
       8.142136005142e-02       1.267908742086e-02 
       8.259515195529e-02       1.264637747371e-02 
       8.386928031984e-02       1.260964690013e-02 
       8.525989700772e-02       1.256823725088e-02 
       8.678628360425e-02       1.252130140558e-02 
       8.847127856040e-02       1.246784884078e-02 
       9.034150072002e-02       1.240666798272e-02 
       9.242707360863e-02       1.233631427142e-02 
       9.476036844603e-02       1.225515270060e-02 
       9.737312969431e-02       1.216139327741e-02 
       1.002914701215e-01       1.205325575923e-02 
       1.035290409814e-01       1.192925462782e-02 
       1.070803914216e-01       1.178844400748e-02 
       1.109181600952e-01       1.163076689226e-02 
       1.149970046128e-01       1.145707380093e-02 
       1.192632136017e-01       1.126901362978e-02 
       1.236651485364e-01       1.106875584718e-02 
       1.281600201997e-01       1.085875931918e-02 
       1.327159431157e-01       1.064161799159e-02 
       1.373108376800e-01       1.041995785306e-02 
       1.419301435621e-01       1.019635036176e-02 
       1.465645572513e-01       9.973231792071e-03 
       1.512082514273e-01       9.752798189573e-03 
       1.558576210254e-01       9.536905359516e-03 
       1.605104526700e-01       9.326991160632e-03 
       1.651653936864e-01       9.124033260000e-03 
       1.698216196753e-01       8.928529457512e-03 
       1.744786289903e-01       8.740525715860e-03 
       1.791361166268e-01       8.559680676095e-03 
       1.837938971896e-01       8.385342807606e-03 
       1.884518579683e-01       8.216668139117e-03 
       1.931099303997e-01       8.052712308422e-03 
       1.977680727292e-01       7.892547128588e-03 
       2.024262594827e-01       7.735344256172e-03 
       2.070844750757e-01       7.580452530543e-03 
       2.117427099341e-01       7.427430221724e-03 
       2.164009581397e-01       7.276077823832e-03 
       2.210592160009e-01       7.126421676222e-03 
       2.257174811849e-01       6.978682832114e-03 
       2.303757521903e-01       6.833234973651e-03 
       2.350340280266e-01       6.690541969751e-03 
       2.396923080196e-01       6.551093250492e-03 
       2.443505916916e-01       6.415351196120e-03 
       2.490088786900e-01       6.283696262811e-03 
       2.536671687418e-01       6.156389349199e-03 
       2.583254616270e-01       6.033548983687e-03 
       2.629837571611e-01       5.915151664261e-03 
       2.676420551848e-01       5.801029720218e-03 
       2.723003555573e-01       5.690903255408e-03 
       2.769586581517e-01       5.584407963537e-03 
       2.816169628525e-01       5.481127807004e-03 
       2.862752695532e-01       5.380639770267e-03 
       2.909335781553e-01       5.282541509654e-03 
       2.955918885674e-01       5.186490077444e-03 
       3.002502007038e-01       5.092213297006e-03 
       3.049085144847e-01       4.999530026065e-03 
       3.095668298348e-01       4.908348375758e-03 
       3.142251466839e-01       4.818662028136e-03 
       3.188834649657e-01       4.730533826506e-03 
       3.235417846178e-01       4.644076299776e-03 
       3.282001055814e-01       4.559432890491e-03 
       3.328584278010e-01       4.476750354971e-03 
       3.375167512243e-01       4.396162667439e-03 
       3.421750758017e-01       4.317769845579e-03 
       3.468334014865e-01       4.241631170254e-03 
       3.514917282343e-01       4.167753213704e-03 
       3.561500560032e-01       4.096092144958e-03 
       3.608083847533e-01       4.026560566907e-03 
       3.654667144469e-01       3.959028465267e-03 
       3.701250450481e-01       3.893343110644e-03 
       3.747833765229e-01       3.829338085140e-03 
       3.794417088389e-01       3.766847996888e-03 
       3.841000419653e-01       3.705719354126e-03 
       3.887583758729e-01       3.645818575915e-03 
       3.934167105336e-01       3.587043089821e-03 
       3.980750459209e-01       3.529321281611e-03 
       4.027333820095e-01       3.472614502063e-03 
       4.073917187751e-01       3.416908487996e-03 
       4.120500561947e-01       3.362215695225e-03 
       4.167083942462e-01       3.308565457533e-03 
       4.213667329086e-01       3.255995661510e-03 
       4.260250721616e-01       3.204543557976e-03 
       4.306834119860e-01       3.154243040218e-03 
       4.353417523635e-01       3.105117316669e-03 
       4.400000932762e-01       3.057172902704e-03 
       4.446584347073e-01       3.010403118511e-03 
       4.493167766407e-01       2.964780150346e-03 
       4.539751190607e-01       2.920266540369e-03 
       4.586334619525e-01       2.876809080629e-03 
       4.632918053017e-01       2.834348470406e-03 
       4.679501490947e-01       2.792819514421e-03 
       4.726084933182e-01       2.752162879939e-03 
       4.772668379596e-01       2.712317001943e-03 
       4.819251830066e-01       2.673231922592e-03 
       4.865835284477e-01       2.634865058773e-03 
       4.912418742715e-01       2.597184686615e-03 
       4.959002204672e-01       2.560170329349e-03 
       5.005585670243e-01       2.523809237975e-03 
       5.052169139329e-01       2.488096089516e-03 
       5.098752611832e-01       2.453033834437e-03 
       5.145336087659e-01       2.418625831673e-03 
       5.191919566721e-01       2.384876920835e-03 
       5.238503048930e-01       2.351791538970e-03 
       5.285086534203e-01       2.319367933547e-03 
       5.331670022460e-01       2.287610923124e-03 
       5.378253513622e-01       2.256503453245e-03 
       5.424837007614e-01       2.226035241541e-03 
       5.471420504365e-01       2.196189588569e-03 
       5.518004003803e-01       2.166943894883e-03 
       5.564587505860e-01       2.138276742313e-03 
       5.611171010472e-01       2.110160885847e-03 
       5.657754517575e-01       2.082572869699e-03 
       5.704338027108e-01       2.055488821755e-03 
       5.750921539011e-01       2.028886494429e-03 
       5.797505053227e-01       2.002747706031e-03 
       5.844088569701e-01       1.977057771115e-03 
       5.890672088378e-01       1.951803310212e-03 
       5.937255609207e-01       1.926975538267e-03 
       5.983839132137e-01       1.902566258900e-03 
       6.030422657120e-01       1.878573867832e-03 
       6.077006184108e-01       1.854992313791e-03 
       6.123589713054e-01       1.831819332326e-03 
       6.170173243915e-01       1.809050676801e-03 
       6.216756776648e-01       1.786686378101e-03 
       6.263340311210e-01       1.764718463800e-03 
       6.309923847560e-01       1.743142685292e-03 
       6.356507385660e-01       1.721950890394e-03 
       6.403090925471e-01       1.701134392475e-03 
       6.449674466955e-01       1.680684527078e-03 
       6.496258010077e-01       1.660590165695e-03 
       6.542841554801e-01       1.640840779277e-03 
       6.589425101094e-01       1.621425100485e-03 
       6.636008648922e-01       1.602331770583e-03 
       6.682592198254e-01       1.583552633164e-03 
