# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       3.727182942406e-03      -2.088980530183e+00      -1.642542540010e+00      -1.643618055765e+00       0.000000000000e+00      -2.074149010160e+00      -1.647412271184e+00       5.987229772081e-01       5.949953257747e-01 
       3.901364482579e-03      -2.127142186915e+00      -1.685594619778e+00      -1.686880965255e+00       0.000000000000e+00      -2.109763946797e+00      -1.690611741111e+00       5.982377863144e-01       5.946220501123e-01 
       4.076564709624e-03      -2.165586100710e+00      -1.730817905402e+00      -1.732348132816e+00       0.000000000000e+00      -2.145378644395e+00      -1.735996121711e+00       5.977324631180e-01       5.942318407734e-01 
       4.252672513007e-03      -2.204099471950e+00      -1.778211338854e+00      -1.780017071576e+00       0.000000000000e+00      -2.180779339664e+00      -1.783561148291e+00       5.972076357502e-01       5.938250385740e-01 
       4.429591425793e-03      -2.242480065742e+00      -1.827765446002e+00      -1.829885145934e+00       0.000000000000e+00      -2.215755566798e+00      -1.833302094781e+00       5.966636376850e-01       5.934016391521e-01 
       4.607237480580e-03      -2.280518338832e+00      -1.879474606700e+00      -1.881947706418e+00       0.000000000000e+00      -2.250100349951e+00      -1.885212483523e+00       5.961013604700e-01       5.929622075997e-01 
       4.785537392305e-03      -2.318007620228e+00      -1.933333421615e+00      -1.936200819677e+00       0.000000000000e+00      -2.283612414327e+00      -1.939286559173e+00       5.955210585028e-01       5.925066756507e-01 
       4.964427020835e-03      -2.354757538884e+00      -1.989325035815e+00      -1.992639167478e+00       0.000000000000e+00      -2.316098612170e+00      -1.995516843635e+00       5.949234253487e-01       5.920353643264e-01 
       5.143850071066e-03      -2.390564832585e+00      -2.047445978423e+00      -2.051257439823e+00       0.000000000000e+00      -2.347373060454e+00      -2.053896441715e+00       5.943088331310e-01       5.915483300888e-01 
       5.323756993482e-03      -2.425238413924e+00      -2.107686979082e+00      -2.112048361540e+00       0.000000000000e+00      -2.377261180468e+00      -2.114416437227e+00       5.936785119342e-01       5.910464508121e-01 
       5.504104053389e-03      -2.458598092406e+00      -2.170036298371e+00      -2.175006583052e+00       0.000000000000e+00      -2.405598566354e+00      -2.177069713276e+00       5.930324506505e-01       5.905293790086e-01 
       5.684852541755e-03      -2.490475618422e+00      -2.234477743571e+00      -2.240124450746e+00       0.000000000000e+00      -2.432234933949e+00      -2.241846882475e+00       5.923717780777e-01       5.899978842046e-01 
       5.865968104924e-03      -2.520692229119e+00      -2.301012544007e+00      -2.307395047002e+00       0.000000000000e+00      -2.457030988050e+00      -2.308740039657e+00       5.916968952601e-01       5.894520634615e-01 
       6.047420174062e-03      -2.549111513062e+00      -2.369612814426e+00      -2.376811257047e+00       0.000000000000e+00      -2.479864115839e+00      -2.377740032439e+00       5.910083325960e-01       5.888920861834e-01 
       6.229181478418e-03      -2.575580743345e+00      -2.440275506877e+00      -2.448364683551e+00       0.000000000000e+00      -2.500626131046e+00      -2.448837606111e+00       5.903071568616e-01       5.883187078889e-01 
       6.411227629051e-03      -2.599970264709e+00      -2.512986784246e+00      -2.522048071689e+00       0.000000000000e+00      -2.519223239045e+00      -2.522024260300e+00       5.895935117954e-01       5.877317621814e-01 
       6.593536761938e-03      -2.622161435954e+00      -2.587735432410e+00      -2.597852522786e+00       0.000000000000e+00      -2.535580820235e+00      -2.597290187040e+00       5.888686784864e-01       5.871322163474e-01 
       6.776089231211e-03      -2.642059975474e+00      -2.664496401299e+00      -2.675770767016e+00       0.000000000000e+00      -2.549637578694e+00      -2.674626655067e+00       5.881324679211e-01       5.865195844924e-01 
       6.958867344787e-03      -2.659552025299e+00      -2.743283754838e+00      -2.755792903720e+00       0.000000000000e+00      -2.561352455630e+00      -2.754024217157e+00       5.873865874926e-01       5.858953034815e-01 
       7.141855135947e-03      -2.674582138420e+00      -2.824060475116e+00      -2.837911424018e+00       0.000000000000e+00      -2.570698749605e+00      -2.835473690038e+00       5.866308182710e-01       5.852588691959e-01 
       7.325038165467e-03      -2.687092136435e+00      -2.906810151224e+00      -2.922117298353e+00       0.000000000000e+00      -2.577669389757e+00      -2.918965457275e+00       5.858661365326e-01       5.846109938769e-01 
       7.508403349770e-03      -2.697027036788e+00      -2.991528917136e+00      -3.008401588708e+00       0.000000000000e+00      -2.582271631739e+00      -3.004490633939e+00       5.850930112159e-01       5.839519125712e-01 
       7.691938811311e-03      -2.704357033005e+00      -3.078201196203e+00      -3.096755341980e+00       0.000000000000e+00      -2.584529797483e+00      -3.092039973288e+00       5.843118504401e-01       5.832818041594e-01 
       7.875633747978e-03      -2.709068907441e+00      -3.166816052901e+00      -3.187169165931e+00       0.000000000000e+00      -2.584489047402e+00      -3.181604187381e+00       5.835241236777e-01       5.826019134333e-01 
       8.059478318836e-03      -2.711164654763e+00      -3.257349969665e+00      -3.279634312836e+00       0.000000000000e+00      -2.582201388212e+00      -3.273174121754e+00       5.827291680993e-01       5.819113899058e-01 
       8.243463543915e-03      -2.710658594985e+00      -3.349797703817e+00      -3.374141193883e+00       0.000000000000e+00      -2.577743164995e+00      -3.366740818575e+00       5.819285686880e-01       5.812116275557e-01 
       8.427581216114e-03      -2.707597167825e+00      -3.444118721548e+00      -3.470681013603e+00       0.000000000000e+00      -2.571200093100e+00      -3.462294645776e+00       5.811223926173e-01       5.805025261972e-01 
       8.611823823588e-03      -2.702000956313e+00      -3.540334588123e+00      -3.569243650715e+00       0.000000000000e+00      -2.562668922232e+00      -3.559827481068e+00       5.803109511525e-01       5.797842620121e-01 
       8.796184481215e-03      -2.693946620115e+00      -3.638407457410e+00      -3.669820066653e+00       0.000000000000e+00      -2.552264327486e+00      -3.659329846162e+00       5.794949637372e-01       5.790574147368e-01 
       8.980656869941e-03      -2.683510500826e+00      -3.738325101554e+00      -3.772401168088e+00       0.000000000000e+00      -2.540113197187e+00      -3.760793431781e+00       5.786755056578e-01       5.783229424383e-01 
       9.165235183005e-03      -2.670771862468e+00      -3.840069412269e+00      -3.876976329594e+00       0.000000000000e+00      -2.526340537989e+00      -3.864208218269e+00       5.778513740250e-01       5.775795617840e-01 
       9.349914078149e-03      -2.655838972837e+00      -3.943644826026e+00      -3.983537975558e+00       0.000000000000e+00      -2.511104198205e+00      -3.969568373589e+00       5.770257879988e-01       5.768303915898e-01 
       9.534688635068e-03      -2.638823033768e+00      -4.049004961846e+00      -4.092074588072e+00       0.000000000000e+00      -2.494541078687e+00      -4.076861941356e+00       5.761963984140e-01       5.760730440269e-01 
       9.719554317462e-03      -2.619846950170e+00      -4.156147674573e+00      -4.202577003461e+00       0.000000000000e+00      -2.476813112804e+00      -4.186081375932e+00       5.753644960758e-01       5.753087605866e-01 
       9.904506939110e-03      -2.599053495512e+00      -4.265037544855e+00      -4.315036163496e+00       0.000000000000e+00      -2.458084564937e+00      -4.297217811464e+00       5.745305799664e-01       5.745380149189e-01 
       1.008954263351e-02      -2.576578979809e+00      -4.375698718303e+00      -4.429443569439e+00       0.000000000000e+00      -2.438526976078e+00      -4.410265644230e+00       5.736960861052e-01       5.737622264826e-01 
       1.027465782663e-02      -2.552567630689e+00      -4.488096298395e+00      -4.545785759911e+00       0.000000000000e+00      -2.418295771679e+00      -4.525211846315e+00       5.728588930280e-01       5.729792960753e-01 
       1.045984921246e-02      -2.527198941879e+00      -4.602203971810e+00      -4.664057613736e+00       0.000000000000e+00      -2.397575498264e+00      -4.642051954805e+00       5.720216767320e-01       5.721919128924e-01 
       1.064511373097e-02      -2.500633670371e+00      -4.718014843965e+00      -4.784249106917e+00       0.000000000000e+00      -2.376533489425e+00      -4.760777607447e+00       5.711843440555e-01       5.714000250116e-01 
       1.083044854826e-02      -2.473040414708e+00      -4.835493768902e+00      -4.906348247518e+00       0.000000000000e+00      -2.355331252774e+00      -4.881377301655e+00       5.703459263284e-01       5.706027268072e-01 
       1.101585103870e-02      -2.444593892573e+00      -4.954634538928e+00      -5.030345427538e+00       0.000000000000e+00      -2.334134987608e+00      -5.003843168162e+00       5.695068620568e-01       5.698005230469e-01 
       1.120131876865e-02      -2.415474405626e+00      -5.075455042710e+00      -5.156233447766e+00       0.000000000000e+00      -2.313111514723e+00      -5.128170754410e+00       5.686684954831e-01       5.689948316702e-01 
       1.138684948186e-02      -2.385868808221e+00      -5.197888372147e+00      -5.284002500518e+00       0.000000000000e+00      -2.292414083996e+00      -5.254349225926e+00       5.678304342746e-01       5.681853669209e-01 
       1.157244108616e-02      -2.355951832135e+00      -5.321940917594e+00      -5.413640892069e+00       0.000000000000e+00      -2.272188239370e+00      -5.382369247801e+00       5.669923490033e-01       5.673719050262e-01 
       1.175809164138e-02      -2.325908923959e+00      -5.447600861314e+00      -5.545141025844e+00       0.000000000000e+00      -2.252578549453e+00      -5.512224572061e+00       5.661550007369e-01       5.665553228661e-01 
       1.194379934840e-02      -2.295925369045e+00      -5.574833078352e+00      -5.678496562240e+00       0.000000000000e+00      -2.233721377805e+00      -5.643909036293e+00       5.653191864426e-01       5.657365519891e-01 
       1.212956253916e-02      -2.266168478014e+00      -5.703633733609e+00      -5.813692143303e+00       0.000000000000e+00      -2.215730558253e+00      -5.777409219726e+00       5.644834806154e-01       5.649143056917e-01 
       1.231537966756e-02      -2.236813412935e+00      -5.833975284783e+00      -5.950718895901e+00       0.000000000000e+00      -2.198719499462e+00      -5.912716779586e+00       5.636481488740e-01       5.640889995917e-01 
       1.250124930116e-02      -2.208035845994e+00      -5.965867182058e+00      -6.089572137079e+00       0.000000000000e+00      -2.182795385569e+00      -6.049829016278e+00       5.628144993928e-01       5.632620923747e-01 
       1.268717011362e-02      -2.179997303418e+00      -6.099273294914e+00      -6.230242225697e+00       0.000000000000e+00      -2.168045795365e+00      -6.188736303004e+00       5.619823217924e-01       5.624335417808e-01 
       1.287314087774e-02      -2.152847859836e+00      -6.234152353091e+00      -6.372716660190e+00       0.000000000000e+00      -2.154543177980e+00      -6.329425959338e+00       5.611508453887e-01       5.616027517264e-01 
       1.305916045918e-02      -2.126741934217e+00      -6.370541136680e+00      -6.516987390710e+00       0.000000000000e+00      -2.142353428218e+00      -6.471893103057e+00       5.603206051260e-01       5.607704202512e-01 
       1.324522781056e-02      -2.101814409341e+00      -6.508375024422e+00      -6.663045120392e+00       0.000000000000e+00      -2.131526069955e+00      -6.616126847950e+00       5.594913783552e-01       5.599365135316e-01 
       1.343134196625e-02      -2.078199748069e+00      -6.647669346330e+00      -6.810881602086e+00       0.000000000000e+00      -2.122099523150e+00      -6.762120936847e+00       5.586634656208e-01       5.591015075737e-01 
       1.361750203737e-02      -2.056014516137e+00      -6.788382291432e+00      -6.960487298764e+00       0.000000000000e+00      -2.114096600469e+00      -6.909865115780e+00       5.578366647074e-01       5.582653892911e-01 
       1.380370720740e-02      -2.035369629791e+00      -6.930508986393e+00      -7.111853742966e+00       0.000000000000e+00      -2.107528141119e+00      -7.059351769298e+00       5.570110908420e-01       5.574284570795e-01 
       1.398995672801e-02      -2.016363611648e+00      -7.074041467657e+00      -7.264972126911e+00       0.000000000000e+00      -2.102391478676e+00      -7.210572705664e+00       5.561867671503e-01       5.565909196321e-01 
       1.417624991527e-02      -1.999079985097e+00      -7.218944102162e+00      -7.419832780650e+00       0.000000000000e+00      -2.098669729663e+00      -7.363517516626e+00       5.553634600471e-01       5.557527304985e-01 
       1.436258614617e-02      -1.983591519312e+00      -7.365203097431e+00      -7.576426731686e+00       0.000000000000e+00      -2.096334551818e+00      -7.518177361503e+00       5.545411325139e-01       5.549140376100e-01 
       1.454896485541e-02      -1.969961338342e+00      -7.512817200423e+00      -7.734745932750e+00       0.000000000000e+00      -2.095346036821e+00      -7.674544759874e+00       5.537198921557e-01       5.540751290559e-01 
       1.473538553244e-02      -1.958234937707e+00      -7.661757145549e+00      -7.894780988104e+00       0.000000000000e+00      -2.095651407688e+00      -7.832609530574e+00       5.528995478029e-01       5.532359945640e-01 
       1.492184771874e-02      -1.948446548304e+00      -7.812007719826e+00      -8.056523423339e+00       0.000000000000e+00      -2.097187809288e+00      -7.992362915581e+00       5.520800737241e-01       5.523967847880e-01 
       1.510835100528e-02      -1.940618867817e+00      -7.963565418341e+00      -8.219965134570e+00       0.000000000000e+00      -2.099882539286e+00      -8.153796950933e+00       5.512615084608e-01       5.515577090311e-01 
       1.529489503023e-02      -1.934756767552e+00      -8.116390311592e+00      -8.385096260012e+00       0.000000000000e+00      -2.103652117048e+00      -8.316900204314e+00       5.504435511638e-01       5.507186347880e-01 
       1.548147947682e-02      -1.930853314626e+00      -8.270463083210e+00      -8.551908396416e+00       0.000000000000e+00      -2.108405842834e+00      -8.481663483635e+00       5.496261515756e-01       5.498796742751e-01 
       1.566810407133e-02      -1.928893957208e+00      -8.425799642886e+00      -8.720394052851e+00       0.000000000000e+00      -2.114046350604e+00      -8.648080016720e+00       5.488094465093e-01       5.490411173706e-01 
       1.585476858133e-02      -1.928845626121e+00      -8.582363711019e+00      -8.890543796117e+00       0.000000000000e+00      -2.120468106031e+00      -8.816138669164e+00       5.479931843091e-01       5.482028619451e-01 
       1.604147281394e-02      -1.930660561815e+00      -8.740128134219e+00      -9.062349435166e+00       0.000000000000e+00      -2.127561049083e+00      -8.985829808422e+00       5.471772890599e-01       5.473649762258e-01 
