# Matter power spectrum P(k) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.278819815948e-02       1.143867654737e+00 
       4.299438028478e-02       1.144887724812e+00 
       4.320100786066e-02       1.145887503834e+00 
       4.340809172279e-02       1.146866564781e+00 
       4.361564301429e-02       1.147824464927e+00 
       4.382367319636e-02       1.148762212650e+00 
       4.403219405939e-02       1.149680281256e+00 
       4.424121773448e-02       1.150579209356e+00 
       4.445075670553e-02       1.151458592466e+00 
       4.466082382188e-02       1.152316723087e+00 
       4.487143231139e-02       1.153156295766e+00 
       4.508259579428e-02       1.153977233567e+00 
       4.529432829743e-02       1.154778357912e+00 
       4.550664426949e-02       1.155560588920e+00 
       4.571955859653e-02       1.156324363897e+00 
       4.593308661855e-02       1.157069387882e+00 
       4.614724414668e-02       1.157795483951e+00 
       4.636204748126e-02       1.158502934173e+00 
       4.657751343074e-02       1.159191758356e+00 
       4.679365933148e-02       1.159864044676e+00 
       4.701050306859e-02       1.160517268216e+00 
       4.722806309773e-02       1.161152775870e+00 
       4.744635846799e-02       1.161771851280e+00 
       4.766540884602e-02       1.162370534927e+00 
       4.788523454123e-02       1.162953559398e+00 
       4.810585653243e-02       1.163519661727e+00 
       4.832729649576e-02       1.164066296279e+00 
       4.854957683409e-02       1.164598259351e+00 
       4.877272070805e-02       1.165111895047e+00 
       4.899675206863e-02       1.165608564102e+00 
       4.922169569156e-02       1.166088973876e+00 
       4.944757721365e-02       1.166552420548e+00 
       4.967442317100e-02       1.166998979963e+00 
       4.990226103949e-02       1.167429354161e+00 
       5.013111927740e-02       1.167842409696e+00 
       5.036102737065e-02       1.168240685670e+00 
       5.059201588046e-02       1.168621194695e+00 
       5.082411649392e-02       1.168985894069e+00 
       5.105736207752e-02       1.169334837924e+00 
       5.129178673385e-02       1.169667938461e+00 
       5.152742586178e-02       1.169984358536e+00 
       5.176431622023e-02       1.170284130911e+00 
       5.200249599604e-02       1.170569893878e+00 
       5.224200487593e-02       1.170838702612e+00 
       5.248288412313e-02       1.171091917427e+00 
       5.272517665892e-02       1.171329115943e+00 
       5.296892714946e-02       1.171551518544e+00 
       5.321418209832e-02       1.171756243168e+00 
       5.346098994524e-02       1.171947996004e+00 
       5.370940117154e-02       1.172122559212e+00 
       5.395946841271e-02       1.172281100425e+00 
       5.421124657892e-02       1.172424871143e+00 
       5.446479298391e-02       1.172553210847e+00 
       5.472016748314e-02       1.172665901389e+00 
       5.497743262187e-02       1.172762384778e+00 
       5.523665379420e-02       1.172843479852e+00 
       5.549789941383e-02       1.172908218988e+00 
       5.576124109779e-02       1.172957656024e+00 
       5.602675386419e-02       1.172991299657e+00 
       5.629451634538e-02       1.173009521511e+00 
       5.656461101789e-02       1.173010523860e+00 
       5.683712445078e-02       1.172996561728e+00 
       5.711214757425e-02       1.172966185560e+00 
       5.738977597034e-02       1.172918460627e+00 
       5.767011018812e-02       1.172855430019e+00 
       5.795325608566e-02       1.172775318822e+00 
       5.823932520173e-02       1.172679672504e+00 
       5.852843516021e-02       1.172565866100e+00 
       5.882071011069e-02       1.172436168942e+00 
       5.911628120929e-02       1.172287481220e+00 
       5.941528714402e-02       1.172122726658e+00 
       5.971787470977e-02       1.171939385332e+00 
       6.002419943840e-02       1.171738027075e+00 
       6.033442629061e-02       1.171518959722e+00 
       6.064873041667e-02       1.171279010123e+00 
       6.096729799430e-02       1.171022371771e+00 
       6.129032715337e-02       1.170745071084e+00 
       6.161802899804e-02       1.170446989548e+00 
       6.195062873882e-02       1.170130022953e+00 
       6.228836694899e-02       1.169791642994e+00 
       6.263150096156e-02       1.169431989107e+00 
       6.298030642614e-02       1.169049117552e+00 
